clip,grade,status,frames,fps,dup_rate,sharpness,brightness,outliers,quality_verdict,template,geometry_pick,classifier_pick,sources_agree,margin,alpha,root_lift_px,spine_tail,coat_hex,coat_lightness,failure_mode,note
18032366-hd_720_1280_30fps,C,ok,126.0,30.0,0.0,637.5,153.3,42.0,CLEAN frame timing,Cardigan Corgi,Whippet,Cardigan Corgi,False,0.495,0.35,12.8,synthesised,#CFBB91,0.6929239038027937,high camera,high camera: corgi shot from above
19828393-hd_1280_720_24fps,C,ok,213.0,24.0,0.0,59.9,92.5,55.0,CLEAN frame timing,Beagle,German Shepherd,Beagle,False,0.007,0.6,0.0,synthesised,#3B3A41,0.24290697674418604,weak breed decision,breed decision not corroborated (alpha 0.60)
19887654-hd_1280_720_24fps_cut,B,ok,179.0,23.976023976023978,0.0,32.8,201.8,51.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Great Dane,Whippet,Great Dane,False,0.261,0.35,0.0,synthesised,#B1A59D,0.657796669988374,,body proportions and coat both wrong  Great Dane
3644110-hd_1280_720_30fps,C,ok,121.0,30.0,0.0,2081.1,143.7,7.0,CLEAN frame timing,Beagle,Basset Hound,Beagle,False,0.063,0.35,2.7,synthesised,#2D3740,0.21567688378033206,high camera,"high camera: dachshund shot from above, rig cannot represent it"
4166357-hd_1280_720_60fps_cut,B,ok,216.0,59.94005994005994,0.0,689.0,66.9,34.0,CLEAN frame timing,Siberian Husky,Cardigan Corgi,Siberian Husky,False,0.264,0.35,0.0,synthesised,#2F1921,0.14375,,saddled coat: single sampled base lands on the dark saddle
4405577-hd_1280_720_24fps,B,ok,377.0,24.0,0.0,146.7,167.0,168.0,CLEAN frame timing,German Shepherd,Siberian Husky,German Shepherd,False,0.087,0.35,0.0,synthesised,#1C2225,0.12985406091370558,,off-profile 9%; outliers 45%
5540218-hd_720_1280_30fps,A,ok,55.0,30.0,0.167,301.1,149.3,0.0,PULLDOWN: duplicated frame every 6 frames -- run the retiming repair cell,German Shepherd,Cardigan Corgi,Whippet,False,0.013,0.35,0.0,synthesised,#C27C4B,0.5297812796004477,,duplicate frame rate 17%; only 55 frames
7682707-hd_1280_720_25fps,C,ok,183.0,25.0,0.379,4.8,129.2,154.0,PULLDOWN: duplicated frame every 1 frames -- run the retiming repair cell | LOW SHARPNESS: expect noisy keypoints,Pekingese,Great Dane,Pekingese,False,0.084,0.6,0.0,synthesised,#DEBA6C,0.6486068111455108,duplicate frames,duplicate frame rate 38%; breed decision not corroborated (alpha 0.60); 84% of frames rejected as outliers
7684001-hd_1280_720_25fps_cut,B,ok,112.0,25.0,0.099,2.7,146.0,49.0,PULLDOWN: duplicated frame every 1 frames -- run the retiming repair cell | LOW SHARPNESS: expect noisy keypoints,Pekingese,Samoyed,Pekingese,False,0.525,0.35,7.9,synthesised,#B39237,0.4602992595639655,,duplicate frames 10%; outliers 44%
7684003-uhd_3840_2160_25fps_cut,C,ok,97.0,25.0,0.0,1.2,146.2,74.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Pekingese,Samoyed,Pekingese,False,0.539,0.35,7.7,synthesised,#B49039,0.46597807242448663,tracking failure,76% of frames rejected as outliers
8056259-hd_1280_720_25fps,C,ok,211.0,25.0,0.0,107.0,119.2,147.0,CLEAN frame timing,Beagle,Whippet,Beagle,False,0.281,0.6,0.3,synthesised,#6A5546,0.346947194719472,tracking failure,breed decision not corroborated (alpha 0.60); 70% of frames rejected as outliers
9632185-hd_1366_720_24fps_cut,A,ok,80.0,24.0,0.0,84.8,144.8,1.0,CLEAN frame timing,Siberian Husky,Basset Hound,Siberian Husky,False,0.556,0.35,1.0,synthesised,#BDB7A8,0.7025699363979523,,Siberian Husky
MicrosoftTeams-video (1) (8)_cut,C,ok,215.0,60.0,0.528,62.1,120.5,14.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Beagle,Whippet,Beagle,False,0.464,0.35,0.0,synthesised,#906A4B,0.4295390883626178,duplicate frames,duplicate frame rate 53%
MicrosoftTeams-video (11)_cut,A,ok,241.0,60.0,0.0,119.6,106.4,25.0,CLEAN frame timing,Whippet,Whippet,Whippet,True,0.452,0.35,0.0,synthesised,#0B070D,0.04180301047120419,,Whippet
MicrosoftTeams-video (2),B,ok,109.0,30.0,0.0,25.0,190.4,1.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Pug,Cardigan Corgi,Pug,False,0.502,0.35,0.2,synthesised,#F4DBC6,0.8674499229583976,,"limb phase does not match tracked skeleton; short clip, low sharpness, sources disagree  Pug"
MicrosoftTeams-video (2) (7),C,ok,122.0,30.0,0.0,142.6,106.0,184.0,CLEAN frame timing,Beagle,Samoyed,Great Dane,False,0.331,0.35,0.0,synthesised,#FFFFFF,1.0,tracking failure,151% of frames rejected as outliers
MicrosoftTeams-video (3),C,ok,441.0,60.0,0.064,431.4,92.6,223.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Samoyed,Cardigan Corgi,Samoyed,False,0.561,0.35,5.7,synthesised,#DBEEFF,0.9302320923027616,same clip twice,"same video as smy, different filename"
MicrosoftTeams-video (5)_cut,A,ok,271.0,30.0,0.004,729.7,126.3,42.0,CLEAN frame timing,Whippet,Whippet,Beagle,False,0.056,0.35,4.7,synthesised,#FBEFD9,0.9193057481892433,,Whippet
MicrosoftTeams-video (6)_cut,A,ok,286.0,24.0,0.018,19.1,133.1,69.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Labrador,Samoyed,Labrador,False,0.086,0.35,8.5,synthesised,#243133,0.17232565647869136,,Labrador
MicrosoftTeams-video (7),A,ok,370.0,60.0,0.512,328.3,105.6,71.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Border Collie,Basset Hound,Border Collie,False,0.53,0.35,19.2,synthesised,#60687C,0.43229541178604375,,graded by eye
bg,A,ok,535.0,60.0,0.002,29.9,110.0,85.0,CLEAN frame timing | LOW SHARPNESS: expect noisy keypoints,Beagle,Samoyed,Beagle,False,0.634,0.35,0.0,synthesised,#CDC575,0.6329050512364433,,no gait: front limb swing 6 deg
big,C,ok,262.0,60.0,0.41,143.1,68.1,26.0,PULLDOWN: duplicated frame every 2 frames -- run the retiming repair cell,Beagle,Beagle,Great Dane,False,0.06,0.6,0.0,synthesised,#2E2B2D,0.17450980392156862,duplicate frames,duplicate frame rate 41%; breed decision not corroborated (alpha 0.60)
blackbig,A,ok,106.0,24.0,0.057,54.6,112.8,84.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Labrador,German Shepherd,Pug,False,0.01,0.35,0.0,synthesised,#090706,0.02989942090825968,,graded by eye
chai,A,ok,291.0,30.0,0.169,269.7,160.1,18.0,PULLDOWN: duplicated frame every 6 frames -- run the retiming repair cell,Samoyed,Cardigan Corgi,Samoyed,False,0.188,0.35,0.0,synthesised,#7F370C,0.27469135802469136,,graded by eye
dan,A,ok,627.0,30.0,0.0,161.4,166.3,41.0,CLEAN frame timing,Whippet,Whippet,Whippet,True,0.18,0.35,0.0,synthesised,#34333C,0.22000189861401176,,Whippet
keji_cut,B,ok,299.0,30.0,0.0,52.5,135.1,0.0,CLEAN frame timing,Siberian Husky,Cardigan Corgi,Siberian Husky,False,0.25,0.35,0.0,synthesised,#AA7B3C,0.4538050919606182,,graded by eye
lachang,A,ok,306.0,30.0,0.164,21.9,149.1,0.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result | LOW SHARPNESS: expect noisy keypoints,Basset Hound,Basset Hound,Great Dane,False,0.103,0.35,0.0,synthesised,#35231B,0.15864480874316939,,duplicate frame rate 16%
smy,A,ok,247.0,60.0,0.053,279.3,92.6,113.0,IRREGULAR FREEZES (VFR video?) -- retiming still applies but check the result,Samoyed,Basset Hound,Samoyed,False,0.537,0.35,3.8,synthesised,#E1F0FF,0.9417989417989419,,graded by eye
